instituto,data_inicio,data_fim,amostra,margem,Bolsonaro,Lula,Gomes,Tebet,Thronicke,D'Avila,Eymael,Manzano,Péricles,Salgado,Kelmon,Indefinidos,Marçal,Outros
PoderData,2022-08-28,2022-08-30,3500,2.0,36.0,44.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,
Paraná Pesquisas,2022-08-26,2022-08-30,2000,2.0,37.1,41.3,7.7,2.4,0.1,0.2,0.1,0.2,0.1,0.3,0.0,9.9,0.6,
XP/Ipespe,2022-08-26,2022-08-29,2000,2.2,35.0,43.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,
BTG Pactual/FSB,2022-08-26,2022-08-28,2000,2.0,36.0,43.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,
Globo/IPEC,2022-08-26,2022-08-28,2000,2.0,32.0,44.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,
Genial/Quaest,2022-08-25,2022-08-28,2000,2.0,32.0,44.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,
MDA,2022-08-25,2022-08-28,2002,2.2,34.1,42.3,7.3,2.1,0.0,0.3,0.0,0.0,0.1,0.1,0.2,12.8,0.4,
Futura,2022-08-24,2022-08-25,2000,2.2,40.1,36.9,10.1,2.2,0.0,0.4,0.0,0.1,0.1,0.4,0.2,9.2,0.4,
AtlasIntel,2022-08-20,2022-08-24,7475,1.0,38.3,46.7,6.4,3.6,0.1,0.7,0.1,0.2,0.1,0.4,0.0,1.9,1.5,
Exame/Ideia,2022-08-19,2022-08-24,1500,3.0,36.0,44.0,9.0,4.0,0.1,1.0,0.1,0.1,0.2,1.0,0.1,5.0,1.0,
Paraná Pesquisas,2022-08-19,2022-08-23,2020,2.0,37.0,41.7,7.3,2.7,0.1,0.1,0.1,0.1,0.1,0.2,0.1,10.1,0.4,
Instituto Veritá,2022-08-17,2022-08-22,5050,2.0,40.1,42.1,4.2,2.3,0.1,0.6,0.2,0.5,0.2,0.2,,8.6,0.7,0.0
Brasmarket,2022-08-20,2022-08-22,2000,2.2,41.0,32.9,4.3,3.3,0.1,0.3,0.2,0.0,0.2,0.4,0.0,17.3,0.3,
BTG Pactual/FSB,2022-08-19,2022-08-21,2000,2.0,36.0,45.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,
