cenario,instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Indefinidos,Cury,Renan,Caiado,Zema,Bolsonaro,Michelle,Tarcísio,Eduardo,Ratinho,Gomes,Leite,Marçal,Lima,Tereza C.,Barbosa,Neves,Rebelo,Marinho,Nogueira,Alckmin,Haddad
Hipóteses com Lula,Futura,2026-06-08,2026-06-12,2000,2.2,48.0,,9.6,,,,,,42.4,,,,,,,,,,,,,,,
Hipóteses com Haddad,Futura,2026-06-08,2026-06-12,2000,2.2,,43.9,17.2,,,,,,,,,,,,,,,,,,,,,38.9
Lula e Flávio Bolsonaro,Real Time Big Data,2026-05-29,2026-05-30,2000,2.0,45.0,40.0,15.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Real Time Big Data,2026-05-29,2026-05-30,2000,2.0,46.0,,24.0,,30.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Real Time Big Data,2026-05-29,2026-05-30,2000,2.0,43.0,,14.0,,,43.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Real Time Big Data,2026-05-29,2026-05-30,2000,2.0,43.0,,17.0,,,,40.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2026-05-20,2026-05-21,2004,2.0,47.0,43.0,11.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-05-20,2026-05-21,2004,2.0,48.0,,13.0,,,39.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-05-20,2026-05-21,2004,2.0,48.0,,13.0,,,,39.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Datafolha,2026-05-20,2026-05-21,2004,2.0,48.0,,9.0,,,,,,43.0,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-05-15,2026-05-20,2000,2.2,47.7,42.2,10.2,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-05-15,2026-05-20,2000,2.2,47.6,,15.9,,,36.5,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-05-15,2026-05-20,2000,2.2,48.3,,15.8,,,,35.9,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2026-05-15,2026-05-20,2000,2.2,47.9,,10.6,,,,,,41.6,,,,,,,,,,,,,,,
